SampleID,SiteID,SiteType,SampleNote,Date,Time,Depth_m_bgs,DTW_m_bgs,Dist_m,Filter,SpC_uS_cm,pH,T_celsius,DO_mg_L,Alkalinity_mg_L_HCO3,F_mg_L,Cl_mg_L,SO4_mg_L,Br_mg_L,NO3_mg_L,Fe_T_mg_L,Fe_II_mg_L,Ag_fa_ug_L,Ag_ra_ug_L,Al_fa_ug_L,Al_ra_ug_L,As_fa_ug_L,As_ra_ug_L,Au_fa_ug_L,Au_ra_ug_L,B_fa_ug_L,B_ra_ug_L,Ba_fa_ug_L,Ba_ra_ug_L,Be_fa_ug_L,Be_ra_ug_L,Bi_fa_ug_L,Bi_ra_ug_L,Ca_fa_ug_L,Ca_ra_ug_L,Cd_fa_ug_L,Cd_ra_ug_L,Ce_fa_ug_L,Ce_ra_ug_L,Co_fa_ug_L,Co_ra_ug_L,Cr_fa_ug_L,Cr_ra_ug_L,Cs_fa_ug_L,Cs_ra_ug_L,Cu_fa_ug_L,Cu_ra_ug_L,Dy_fa_ug_L,Dy_ra_ug_L,Er_fa_ug_L,Er_ra_ug_L,Eu_fa_ug_L,Eu_ra_ug_L,Fe_fa_ug_L,Fe_ra_ug_L,Ga_fa_ug_L,Ga_ra_ug_L,Gd_fa_ug_L,Gd_ra_ug_L,Ge_fa_ug_L,Ge_ra_ug_L,Hf_fa_ug_L,Hf_ra_ug_L,Hg_fa_ug_L,Hg_ra_ug_L,Ho_fa_ug_L,Ho_ra_ug_L,In_fa_ug_L,In_ra_ug_L,K_fa_ug_L,K_ra_ug_L,La_fa_ug_L,La_ra_ug_L,Li_fa_ug_L,Li_ra_ug_L,Lu_fa_ug_L,Lu_ra_ug_L,Mg_fa_ug_L,Mg_ra_ug_L,Mn_fa_ug_L,Mn_ra_ug_L,Mo_fa_ug_L,Mo_ra_ug_L,Na_fa_ug_L,Na_ra_ug_L,Nb_fa_ug_L,Nb_ra_ug_L,Nd_fa_ug_L,Nd_ra_ug_L,Ni_fa_ug_L,Ni_ra_ug_L,P_fa_ug_L,P_ra_ug_L,Pb_fa_ug_L,Pb_ra_ug_L,Pr_fa_ug_L,Pr_ra_ug_L,Rb_fa_ug_L,Rb_ra_ug_L,Re_fa_ug_L,Re_ra_ug_L,S_fa_ug_L,S_ra_ug_L,Sb_fa_ug_L,Sb_ra_ug_L,Sc_fa_ug_L,Sc_ra_ug_L,Se_fa_ug_L,Se_ra_ug_L,Si_fa_ug_L,Si_ra_ug_L,Sm_fa_ug_L,Sm_ra_ug_L,Sn_fa_ug_L,Sn_ra_ug_L,Sr_fa_ug_L,Sr_ra_ug_L,Ta_fa_ug_L,Ta_ra_ug_L,Tb_fa_ug_L,Tb_ra_ug_L,Te_fa_ug_L,Te_ra_ug_L,Th_fa_ug_L,Th_ra_ug_L,Ti_fa_ug_L,Ti_ra_ug_L,Tl_fa_ug_L,Tl_ra_ug_L,Tm_fa_ug_L,Tm_ra_ug_L,U_fa_ug_L,U_ra_ug_L,V_fa_ug_L,V_ra_ug_L,W_fa_ug_L,W_ra_ug_L,Y_fa_ug_L,Y_ra_ug_L,Yb_fa_ug_L,Yb_ra_ug_L,Zn_fa_ug_L,Zn_ra_ug_L,Zr_fa_ug_L,Zr_ra_ug_L
PG24-MW1,MW1,Streambank Well,-9999,8/2/2024,1500,1.3,0.85,55,syringe,54,6.79,12.6,7.6,17.3,0.108,0.319,10.3,-0.005,0.008,-9999,-9999,-0.05,0.91,11,3580,-0.2,0.4,-0.01,-0.01,3,4,9.04,42.8,-0.007,0.109,-0.01,0.25,4310,4850,0.26,0.573,0.21,13.1,82.1,86.6,0.17,3.71,-0.1,0.3,21.3,45.5,0.04,0.56,0.02,0.31,0.01,0.14,14,3300,-0.1,1.3,0.05,0.75,-0.1,0.2,-0.1,-0.1,-0.01,0.04,-0.01,0.1,-0.01,0.01,602,1530,0.21,3.86,0.4,1.9,-0.1,-0.1,1090,1720,4.78,72.4,0.8,1.7,2460,2870,-0.01,0.36,0.23,3.91,12.4,16.7,-3,63,-0.09,7.56,0.06,1,0.5,7.6,-0.1,-0.1,3030,-5000,-0.9,-0.9,-0.1,0.9,0.04,0.1,5890,11500,-0.1,0.78,0.12,2.05,36.5,43.2,-0.1,-0.1,-0.01,0.1,-0.1,-0.1,-0.1,1.5,0.1,82.3,-0.005,0.052,-0.01,0.04,0.04,0.506,0.04,3.5,0.17,1.27,0.25,2.3,0.03,0.31,9,16,-2,-2
-9999,MW1,Streambank Well,Field parameters measured downhole near bottom of well screen,10/11/2024,1345,1.3,-9999,55,-9999,72,-9999,6.4,7.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
PG24-MW2,MW2,Streambank Well,-9999,8/2/2024,1045,1,0.13,215,syringe,64,7,6.8,6.2,18.2,0.102,0.283,12.3,-0.005,-0.005,-9999,-9999,-0.05,-0.05,4,240,-0.2,-0.2,-0.01,-0.01,3,4,12.9,16.3,-0.007,0.01,-0.01,0.01,6040,5940,0.021,0.033,0.04,1.16,6.47,6.38,-0.08,0.41,-0.1,-0.1,2,4.1,0.01,0.04,-0.01,0.03,-0.01,0.02,-7,279,-0.1,0.1,0.01,0.07,-0.1,-0.1,-0.1,-0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,598,628,0.05,0.4,0.3,0.5,-0.1,-0.1,1360,1320,0.79,6.62,0.4,0.4,2650,2540,-0.01,0.03,0.06,0.4,1.3,1.5,-3,6,-0.09,0.73,0.02,0.1,0.1,0.6,-0.1,-0.1,4450,-5000,-0.9,-0.9,-0.1,0.2,0.05,0.05,5720,6450,-0.1,0.08,-0.06,0.34,47,44.1,-0.1,-0.1,-0.01,-0.01,-0.1,-0.1,-0.1,0.2,0.1,5.53,-0.005,-0.005,-0.01,-0.01,0.011,0.044,0.02,0.26,0.06,0.11,0.07,0.24,-0.01,0.03,3,3,-2,-2
-9999,MW2,Streambank Well,Field parameters measured downhole near bottom of well screen,10/11/2024,1410,1,-9999,215,-9999,28,-9999,5.1,6.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
PG24-MW3,MW3,Streambank Well,-9999,8/1/2024,1400,1.4,0.1,393,syringe,582,6.05,9.6,0.7,-6.1,0.597,0.922,240,0.012,-0.005,-9999,-9999,-0.05,0.39,384,2520,-0.2,0.4,-0.01,-0.01,4,4,28.6,47.4,0.11,0.192,-0.01,0.12,60000,62300,0.61,0.871,3.08,11.9,110,112,0.2,6.42,-0.1,0.1,24.4,67.2,0.18,0.65,0.1,0.35,0.06,0.18,18500,25600,-0.1,0.9,0.28,0.9,0.5,0.7,-0.1,-0.1,-0.01,-0.01,0.04,0.12,-0.01,0.01,4170,4740,1.18,3.97,3.3,3.6,-0.1,-0.1,11500,12100,1700,1739,1,3.1,6860,7260,-0.01,0.26,1.16,4.31,21.8,27.3,-3,63,0.21,7.08,0.28,1.1,4.5,8.8,-0.1,-0.1,79900,83300,-0.9,-0.9,0.2,1,0.05,0.12,12200,14900,0.2,0.89,-0.06,1.93,365,376,-0.1,-0.1,0.04,0.12,-0.1,-0.1,0.2,3.5,0.3,59.4,0.008,0.037,0.02,0.05,1.03,2.36,0.15,2.59,0.06,1.22,0.97,2.78,0.1,0.32,156,155,-2,-2
PG24-MW3-2,MW3,Streambank Well,-9999,10/10/2024,1545,1.4,0.09,393,syringe,500,5.59,6.5,1.1,-1,1.02,0.32,276,0.13,-0.05,-9999,-9999,-0.05,-0.05,547,699,-0.2,0.3,-0.01,-0.01,3,3,24.1,27,0.22,0.24,-0.01,0.01,55900,54400,1.95,1.88,3.31,4.13,300,297,0.15,0.59,-0.1,-0.1,82.9,88.5,0.23,0.27,0.11,0.12,0.07,0.07,14500,14800,-0.1,0.2,0.28,0.32,0.5,0.7,-0.1,-0.1,0.01,-0.01,0.04,0.06,-0.01,-0.01,2030,1990,1.34,1.54,3.1,3,-0.1,-0.1,11200,11400,1560,1490,-0.4,0.6,7690,7880,0.02,0.03,1.24,1.46,59,60.8,-3,10,0.39,1.1,0.3,0.38,3.7,4.2,-0.1,-0.1,74900,75800,-0.9,-0.9,0.5,0.3,-0.04,-0.04,13200,12700,0.2,0.31,-0.06,0.45,296,303,-0.1,-0.1,0.04,0.04,-0.1,-0.1,0.2,0.3,0.2,5.5,0.012,0.011,0.01,0.02,1.45,1.5,0.07,0.33,-0.02,0.1,1.19,1.35,0.09,0.12,407,430,-2,-2
-9999,MW3,Streambank Well,Field parameters measured downhole near bottom of well screen,10/11/2024,1440,1.4,-9999,393,-9999,196,-9999,6.1,0.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
PG24-MW4,MW4,Streambank Well,-9999,8/1/2024,1115,1.6,0.54,548,syringe,393,4.76,9.3,4.9,-6.1,1.14,0.312,158,-0.005,-0.005,-9999,-9999,-0.05,-0.05,1550,1740,-0.2,-0.2,-0.01,-0.01,3,3,16.4,16.5,0.5,0.438,-0.01,0.01,41100,42000,1.76,1.71,2.01,2.34,1.55,1.72,0.1,0.2,-0.1,-0.1,27.3,26.1,0.41,0.46,0.2,0.24,0.12,0.13,7,74,-0.1,-0.1,0.54,0.58,-0.1,-0.1,-0.1,-0.1,-0.01,-0.01,0.08,0.08,-0.01,-0.01,1300,1340,3.03,3.18,4.2,5,-0.1,-0.1,7670,7900,229,233,-0.4,-0.4,5100,5270,-0.01,-0.01,2.24,2.6,12.7,12.5,-3,-3,0.36,0.8,0.63,0.66,2.1,2.4,-0.1,-0.1,52300,54700,-0.9,-0.9,0.1,0.2,0.04,0.08,11000,10600,0.5,0.52,-0.06,0.12,270,263,-0.1,-0.1,0.08,0.08,-0.1,-0.1,-0.1,0.2,-0.1,1.34,-0.005,-0.005,0.02,0.03,2.43,2.67,0.01,0.06,0.03,0.06,2.48,2.53,0.15,0.17,309,279,-2,-2
PG24-MW4-2,MW4,Streambank Well,-9999,10/10/2024,1640,1.6,0.56,548,syringe,448,4.74,5.9,6.4,1.8,1.18,0.36,237,2.45,-0.05,-9999,-9999,-0.05,-0.05,1480,1530,-0.2,0.3,-0.01,-0.01,3,3,22.6,24.2,0.63,0.64,-0.01,0.03,53300,51900,4.21,4.29,2.61,2.87,0.94,1.41,-0.08,0.52,-0.1,-0.1,41.2,41.4,0.51,0.54,0.24,0.23,0.14,0.13,31,170,-0.1,0.2,0.6,0.65,0.1,0.2,-0.1,-0.1,-0.01,-0.01,0.09,0.09,-0.01,-0.01,1610,1600,3.4,3.52,5.2,5,-0.1,-0.1,10200,10000,531,549,-0.4,-0.4,7950,8130,0.02,0.02,2.79,2.9,35,36,-3,10,0.27,1.11,0.7,0.74,2.7,2.9,0.1,-0.1,65400,65400,-0.9,-0.9,0.4,0.4,-0.04,-0.04,13300,12800,0.5,0.51,-0.06,0.23,278,282,-0.1,-0.1,0.1,0.1,-0.1,-0.1,-0.1,-0.1,-0.1,2.6,-0.005,0.011,0.03,0.03,2.65,2.57,0.01,0.1,-0.02,0.03,2.93,2.99,0.19,0.21,1020,1070,-2,-2
-9999,MW4,Streambank Well,Field parameters measured downhole near bottom of well screen,10/11/2024,1455,1.6,-9999,548,-9999,172,-9999,5.8,6.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
PG24-MW5,MW5,Streambank Well,-9999,8/1/2024,945,1.3,0.3,647,syringe,336,5.67,8.4,1.8,3,0.73,0.315,130,0.006,0.013,-9999,-9999,-0.05,0.29,647,1430,-0.2,-0.2,-0.01,-0.01,3,3,28.1,32,0.38,0.38,-0.01,0.03,33900,33900,2.42,2.54,1.61,2.88,52,51.8,-0.08,2.11,-0.1,-0.1,48.2,53.6,0.18,0.25,0.09,0.14,0.05,0.06,1300,2200,-0.1,0.3,0.22,0.31,-0.1,0.1,-0.1,-0.1,-0.01,-0.01,0.04,0.05,0.02,-0.01,1440,1560,1.36,1.93,3.3,4.2,-0.1,-0.1,6420,6600,684,668,-0.4,-0.4,4720,4860,-0.01,0.1,0.78,1.28,26.4,27.7,-3,11,0.15,1.02,0.22,0.34,2.3,3.4,-0.1,-0.1,43000,43600,-0.9,-0.9,0.2,0.4,-0.04,0.05,10200,10700,0.1,0.25,-0.06,0.73,215,216,-0.1,-0.1,0.04,0.04,-0.1,-0.1,-0.1,0.4,0.1,31.7,-0.005,0.009,0.02,0.02,0.679,0.899,0.02,1.03,0.02,0.1,1.18,1.57,0.08,0.11,489,446,-2,-2
PG24-MW5R,MW5,Streambank Well,Field replicate of PG24-MW5,8/1/2024,945,1.3,0.3,647,syringe,336,5.67,8.4,1.8,2.5,0.725,0.323,131,0.008,0.012,-9999,-9999,-0.05,0.37,624,1460,-0.2,-0.2,-0.01,-0.01,3,4,28.2,35.9,0.34,0.39,-0.01,0.04,34500,36600,2.48,2.57,1.59,2.9,52,54.4,-0.08,1.98,-0.1,-0.1,46.2,53,0.16,0.24,0.09,0.15,0.04,0.06,1460,2770,-0.1,0.3,0.21,0.31,-0.1,0.1,-0.1,-0.1,-0.01,0.02,0.03,0.05,-0.01,-0.01,1430,1600,1.34,1.89,3.4,4.3,-0.1,-0.1,6520,7080,689,724,-0.4,-0.4,4750,5120,-0.01,0.1,0.77,1.26,26.5,28.2,-3,11,0.12,1.13,0.21,0.34,2.2,3.7,-0.1,-0.1,44000,45900,-0.9,-0.9,0.2,0.4,-0.04,0.05,10100,11400,0.1,0.26,-0.06,0.71,221,228,-0.1,-0.1,0.03,0.04,-0.1,-0.1,-0.1,0.4,0.1,31.2,-0.005,0.011,0.01,0.02,0.655,0.895,0.03,1.03,-0.02,0.11,1.2,1.54,0.06,0.11,493,467,-2,-2
PG24-MW5-2,MW5,Streambank Well,-9999,10/11/2024,1225,1.3,0.3,647,syringe,434,5.96,6.1,2.2,-1,1.29,0.35,227,1.28,0.05,-9999,-9999,-0.05,-0.05,655,660,-0.2,-0.2,-0.01,-0.01,3,3,32.6,34.2,0.29,0.28,-0.01,-0.01,52100,51400,2.3,2.44,1.85,1.78,21.2,20.8,-0.08,0.7,-0.1,-0.1,23.3,24,0.21,0.2,0.11,0.11,0.05,0.04,3360,3420,-0.1,-0.1,0.26,0.2,0.1,0.2,-0.1,-0.1,0.03,0.03,0.04,0.03,-0.01,-0.01,1720,1710,1.57,1.53,4.1,3.9,-0.1,-0.1,10200,10300,968,999,-0.4,-0.4,7310,7320,0.02,0.01,1,1.03,21,22.7,-3,-3,-0.09,0.16,0.26,0.26,2.6,2.6,0.1,0.2,63900,64200,-0.9,-0.9,0.4,0.3,-0.04,0.06,12700,12200,0.2,0.22,-0.06,0.06,278,281,-0.1,-0.1,0.04,0.03,-0.1,-0.1,-0.1,-0.1,0.1,0.23,0.007,-0.005,0.01,0.02,0.81,0.73,0.03,0.06,-0.02,-0.02,1.46,1.47,0.09,0.09,532,557,-2,-2
-9999,MW5,Streambank Well,Field parameters measured downhole near bottom of well screen,10/11/2024,1515,1.3,-9999,647,-9999,228,-9999,5.8,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
PG24-SMW1,SMW1,Spring Well,-9999,8/1/2024,1515,0.7,0,315,syringe,138,6.64,5.3,7.2,14.6,0.185,0.387,40.8,0.005,0.021,-9999,-9999,-0.05,-0.05,26,54,-0.2,-0.2,-0.01,-0.01,3,3,20.8,20.8,0.018,0.021,-0.01,-0.01,12500,12900,0.23,0.215,0.01,0.11,0.07,0.084,0.3,0.28,-0.1,-0.1,0.7,0.7,0.03,0.04,0.02,0.03,0.01,0.02,7,33,-0.1,-0.1,0.04,0.06,-0.1,-0.1,-0.1,-0.1,-0.01,-0.01,-0.01,0.01,-0.01,-0.01,1040,1130,0.14,0.19,0.5,1.1,-0.1,-0.1,2920,3060,1.33,1.36,0.4,0.4,2970,3020,-0.01,-0.01,0.16,0.23,2.2,2.1,5,8,-0.09,-0.09,0.04,0.05,0.1,0.2,-0.1,-0.1,13400,14000,-0.9,-0.9,-0.1,0.1,0.04,0.05,6300,6410,-0.1,0.06,-0.06,-0.06,83.7,86.2,-0.1,-0.1,-0.01,-0.01,-0.1,-0.1,-0.1,-0.1,-0.1,1.08,-0.005,-0.005,-0.01,-0.01,0.029,0.04,0.11,0.16,-0.02,0.02,0.24,0.29,0.02,0.03,52,50,-2,-2
PG24-SMW1R,SMW1,Spring Well,Field replicate of PG24-SMW1,8/1/2024,1515,0.7,0,315,syringe,138,6.64,5.3,7.2,15.8,0.179,0.385,40.8,0.006,0.019,-9999,-9999,-0.05,-0.05,28,71,-0.2,-0.2,-0.01,-0.01,3,3,20.8,21.7,0.026,0.02,-0.01,-0.01,12500,12800,0.21,0.212,-0.01,0.14,0.046,0.074,0.25,0.35,-0.1,-0.1,0.7,0.9,0.03,0.05,0.02,0.03,0.01,0.02,-7,47,-0.1,-0.1,0.03,0.06,-0.1,-0.1,-0.1,-0.1,-0.01,-0.01,-0.01,0.01,-0.01,-0.01,1040,1120,0.13,0.21,0.5,0.3,-0.1,-0.1,2990,3070,1.47,1.71,0.4,0.4,2980,3040,0.01,0.04,0.16,0.24,2.1,2.1,10,10,-0.09,-0.09,0.04,0.06,-0.1,0.2,-0.1,-0.1,13800,14200,-0.9,-0.9,-0.1,0.1,0.06,0.04,6310,6480,-0.1,0.06,-0.06,0.08,84.6,86.8,-0.1,-0.1,-0.01,-0.01,-0.1,-0.1,-0.1,-0.1,0.1,1.41,-0.005,-0.005,-0.01,-0.01,0.024,0.044,0.1,0.18,-0.02,0.04,0.23,0.34,0.02,0.04,51,48,-2,-2
-9999,SMW1,Spring Well,Field parameters measured downhole near bottom of well screen,10/11/2024,1425,0.7,-9999,315,-9999,183,-9999,5,3.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
PG24-SMW2,SMW2,Spring Well,-9999,8/2/2024,915,0.5,0,253,syringe,62,6.59,6,3.6,16.1,0.107,0.274,12.1,0.006,0.009,-9999,-9999,-0.05,-0.05,21,144,-0.2,-0.2,-0.01,-0.01,4,4,11.4,12.7,0.013,0.014,-0.01,0.05,5120,5730,0.022,0.032,0.1,0.43,0.054,0.117,0.2,0.49,-0.1,-0.1,1.9,2.5,0.04,0.08,0.03,0.05,0.01,0.02,33,239,-0.1,-0.1,0.06,0.1,-0.1,-0.1,-0.1,-0.1,-0.01,0.03,0.01,0.02,-0.01,-0.01,591,658,0.16,0.38,0.3,0.2,-0.1,-0.1,1380,1470,2.41,3.95,0.5,0.6,2190,2290,-0.01,0.03,0.23,0.42,0.8,1.1,10,23,0.19,1.26,0.05,0.1,0.1,0.4,-0.1,-0.1,3660,-5000,-0.9,-0.9,-0.1,0.1,0.04,0.11,5940,6330,-0.1,0.1,-0.06,0.09,38.5,41.2,-0.1,-0.1,-0.01,0.01,-0.1,-0.1,-0.1,-0.1,0.5,4.73,-0.005,-0.005,-0.01,-0.01,0.036,0.077,0.1,0.29,-0.02,0.06,0.31,0.48,0.03,0.05,3,3,-2,-2
PG24-SMW3,SMW3,Spring Well,-9999,8/2/2024,1230,1,0,192,syringe,63,6.68,4.9,6.9,15.4,0.102,0.335,12.4,-0.005,0.023,-9999,-9999,-0.05,-0.05,2,26,-0.2,-0.2,-0.01,-0.01,3,3,13.1,13.6,-0.007,0.008,-0.01,0.03,5190,5280,0.012,0.014,-0.01,0.11,0.032,0.046,0.13,0.17,-0.1,-0.1,0.9,1.2,0.06,0.1,0.04,0.06,0.01,0.02,-7,74,-0.1,-0.1,0.06,0.1,-0.1,-0.1,-0.1,-0.1,-0.01,-0.01,0.01,0.02,-0.01,-0.01,614,616,0.15,0.32,0.3,-0.1,-0.1,-0.1,1200,1230,0.53,0.64,0.5,0.5,2420,2370,-0.01,0.02,0.23,0.44,0.3,0.4,9,10,-0.09,0.28,0.05,0.1,-0.1,0.1,-0.1,-0.1,3880,-5000,-0.9,-0.9,0.1,0.2,0.06,0.08,5670,5650,-0.1,0.1,-0.06,0.08,39.8,40.6,-0.1,-0.1,-0.01,0.02,-0.1,-0.1,-0.1,0.1,-0.1,0.87,-0.005,-0.005,-0.01,-0.01,0.034,0.062,0.09,0.15,-0.02,0.06,0.35,0.54,0.04,0.06,4,4,-2,-2
-9999,SMW3,Spring Well,Field parameters measured downhole near bottom of well screen,10/11/2024,1355,1,-9999,192,-9999,40,-9999,4.9,5.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
