SiteID,Date _SlugAddition,Dectime_hour,BCSC_uS_cm,,
STR1,8/5/2024,15.4772,608,,
STR1,8/5/2024,15.4775,605,,
STR1,8/5/2024,15.4778,603,,
STR1,8/5/2024,15.4781,604,,
STR1,8/5/2024,15.4783,606,,
STR1,8/5/2024,15.4786,607,,
STR1,8/5/2024,15.4789,606,,
STR1,8/5/2024,15.4792,604,,
STR1,8/5/2024,15.4794,596,,
STR1,8/5/2024,15.4797,591,,
STR1,8/5/2024,15.4800,589,,
STR1,8/5/2024,15.4803,588,,
STR1,8/5/2024,15.4806,588,,
STR1,8/5/2024,15.4808,586,,
STR1,8/5/2024,15.4811,585,,
STR1,8/5/2024,15.4814,584,,
STR1,8/5/2024,15.4817,584,,
STR1,8/5/2024,15.4819,584,,
STR1,8/5/2024,15.4822,583,,
STR1,8/5/2024,15.4825,581,,
STR1,8/5/2024,15.4828,576,,
STR1,8/5/2024,15.4831,571,,
STR1,8/5/2024,15.4833,564,,
STR1,8/5/2024,15.4836,560,,
STR1,8/5/2024,15.4839,553,,
STR1,8/5/2024,15.4842,547,,
STR1,8/5/2024,15.4844,546,,
STR1,8/5/2024,15.4847,547,,
STR1,8/5/2024,15.4850,547,,
STR1,8/5/2024,15.4853,544,,
STR1,8/5/2024,15.4856,542,,
STR1,8/5/2024,15.4858,542,,
STR1,8/5/2024,15.4861,540,,
STR1,8/5/2024,15.4864,536,,
STR1,8/5/2024,15.4867,532,,
STR1,8/5/2024,15.4869,528,,
STR1,8/5/2024,15.4872,521,,
STR1,8/5/2024,15.4875,518,,
STR1,8/5/2024,15.4878,515,,
STR1,8/5/2024,15.4881,512,,
STR1,8/5/2024,15.4883,508,,
STR1,8/5/2024,15.4886,503,,
STR1,8/5/2024,15.4889,500,,
STR1,8/5/2024,15.4892,498,,
STR1,8/5/2024,15.4894,497,,
STR1,8/5/2024,15.4897,493,,
STR1,8/5/2024,15.4900,487,,
STR1,8/5/2024,15.4903,480,,
STR1,8/5/2024,15.4906,474,,
STR1,8/5/2024,15.4908,468,,
STR1,8/5/2024,15.4911,451,,
STR1,8/5/2024,15.4914,440,,
STR1,8/5/2024,15.4917,435,,
STR1,8/5/2024,15.4919,432,,
STR1,8/5/2024,15.4922,429,,
STR1,8/5/2024,15.4925,426,,
STR1,8/5/2024,15.4928,426,,
STR1,8/5/2024,15.4931,432,,
STR1,8/5/2024,15.4933,433,,
STR1,8/5/2024,15.4936,430,,
STR1,8/5/2024,15.4939,424,,
STR1,8/5/2024,15.4942,419,,
STR1,8/5/2024,15.4944,421,,
STR1,8/5/2024,15.4947,422,,
STR1,8/5/2024,15.4950,419,,
STR1,8/5/2024,15.4953,416,,
STR1,8/5/2024,15.4956,411,,
STR1,8/5/2024,15.4958,407,,
STR1,8/5/2024,15.4961,405,,
STR1,8/5/2024,15.4964,403,,
STR1,8/5/2024,15.4967,399,,
STR1,8/5/2024,15.4969,391,,
STR1,8/5/2024,15.4972,386,,
STR1,8/5/2024,15.4975,384,,
STR1,8/5/2024,15.4978,382,,
STR1,8/5/2024,15.4981,375,,
STR1,8/5/2024,15.4983,366,,
STR1,8/5/2024,15.4986,361,,
STR1,8/5/2024,15.4989,362,,
STR1,8/5/2024,15.4992,364,,
STR1,8/5/2024,15.4994,361,,
STR1,8/5/2024,15.4997,349,,
STR1,8/5/2024,15.5000,338,,
STR1,8/5/2024,15.5003,333,,
STR1,8/5/2024,15.5006,331,,
STR1,8/5/2024,15.5008,326,,
STR1,8/5/2024,15.5011,322,,
STR1,8/5/2024,15.5014,323,,
STR1,8/5/2024,15.5017,324,,
STR1,8/5/2024,15.5019,323,,
STR1,8/5/2024,15.5022,323,,
STR1,8/5/2024,15.5025,320,,
STR1,8/5/2024,15.5028,315,,
STR1,8/5/2024,15.5031,311,,
STR1,8/5/2024,15.5033,305,,
STR1,8/5/2024,15.5036,299,,
STR1,8/5/2024,15.5039,295,,
STR1,8/5/2024,15.5042,285,,
STR1,8/5/2024,15.5044,273,,
STR1,8/5/2024,15.5047,271,,
STR1,8/5/2024,15.5050,270,,
STR1,8/5/2024,15.5053,266,,
STR1,8/5/2024,15.5056,265,,
STR1,8/5/2024,15.5058,266,,
STR1,8/5/2024,15.5061,268,,
STR1,8/5/2024,15.5064,268,,
STR1,8/5/2024,15.5067,263,,
STR1,8/5/2024,15.5069,259,,
STR1,8/5/2024,15.5072,252,,
STR1,8/5/2024,15.5075,244,,
STR1,8/5/2024,15.5078,237,,
STR1,8/5/2024,15.5081,234,,
STR1,8/5/2024,15.5083,232,,
STR1,8/5/2024,15.5086,230,,
STR1,8/5/2024,15.5089,228,,
STR1,8/5/2024,15.5092,227,,
STR1,8/5/2024,15.5094,229,,
STR1,8/5/2024,15.5097,230,,
STR1,8/5/2024,15.5100,228,,
STR1,8/5/2024,15.5103,225,,
STR1,8/5/2024,15.5106,220,,
STR1,8/5/2024,15.5108,212,,
STR1,8/5/2024,15.5111,205,,
STR1,8/5/2024,15.5114,199,,
STR1,8/5/2024,15.5117,194,,
STR1,8/5/2024,15.5119,191,,
STR1,8/5/2024,15.5122,196,,
STR1,8/5/2024,15.5125,202,,
STR1,8/5/2024,15.5128,205,,
STR1,8/5/2024,15.5131,206,,
STR1,8/5/2024,15.5133,204,,
STR1,8/5/2024,15.5136,201,,
STR1,8/5/2024,15.5139,200,,
STR1,8/5/2024,15.5142,194,,
STR1,8/5/2024,15.5144,190,,
STR1,8/5/2024,15.5147,189,,
STR1,8/5/2024,15.5150,187,,
STR1,8/5/2024,15.5153,186,,
STR1,8/5/2024,15.5156,185,,
STR1,8/5/2024,15.5158,183,,
STR1,8/5/2024,15.5161,178,,
STR1,8/5/2024,15.5164,175,,
STR1,8/5/2024,15.5167,170,,
STR1,8/5/2024,15.5169,167,,
STR1,8/5/2024,15.5172,165,,
STR1,8/5/2024,15.5175,162,,
STR1,8/5/2024,15.5178,160,,
STR1,8/5/2024,15.5181,154,,
STR1,8/5/2024,15.5183,150,,
STR1,8/5/2024,15.5186,148,,
STR1,8/5/2024,15.5189,147,,
STR1,8/5/2024,15.5192,147,,
STR1,8/5/2024,15.5194,146,,
STR1,8/5/2024,15.5197,144,,
STR1,8/5/2024,15.5200,143,,
STR1,8/5/2024,15.5203,142,,
STR1,8/5/2024,15.5206,141,,
STR1,8/5/2024,15.5208,140,,
STR1,8/5/2024,15.5211,137,,
STR1,8/5/2024,15.5214,132,,
STR1,8/5/2024,15.5217,123,,
STR1,8/5/2024,15.5219,120,,
STR1,8/5/2024,15.5222,120,,
STR1,8/5/2024,15.5225,120,,
STR1,8/5/2024,15.5228,120,,
STR1,8/5/2024,15.5231,119,,
STR1,8/5/2024,15.5233,118,,
STR1,8/5/2024,15.5236,117,,
STR1,8/5/2024,15.5239,116,,
STR1,8/5/2024,15.5242,115,,
STR1,8/5/2024,15.5244,115,,
STR1,8/5/2024,15.5247,115,,
STR1,8/5/2024,15.5250,114,,
STR1,8/5/2024,15.5253,111,,
STR1,8/5/2024,15.5256,107,,
STR1,8/5/2024,15.5258,105,,
STR1,8/5/2024,15.5261,103,,
STR1,8/5/2024,15.5264,102,,
STR1,8/5/2024,15.5267,102,,
STR1,8/5/2024,15.5269,102,,
STR1,8/5/2024,15.5272,103,,
STR1,8/5/2024,15.5275,102,,
STR1,8/5/2024,15.5278,101,,
STR1,8/5/2024,15.5281,100,,
STR1,8/5/2024,15.5283,98,,
STR1,8/5/2024,15.5286,96,,
STR1,8/5/2024,15.5289,93,,
STR1,8/5/2024,15.5292,92,,
STR1,8/5/2024,15.5294,88,,
STR1,8/5/2024,15.5297,86,,
STR1,8/5/2024,15.5300,85,,
STR1,8/5/2024,15.5303,84,,
STR1,8/5/2024,15.5306,82,,
STR1,8/5/2024,15.5308,81,,
STR1,8/5/2024,15.5311,79,,
STR1,8/5/2024,15.5314,78,,
STR1,8/5/2024,15.5317,79,,
STR1,8/5/2024,15.5319,79,,
STR1,8/5/2024,15.5322,78,,
STR1,8/5/2024,15.5325,77,,
STR1,8/5/2024,15.5328,77,,
STR1,8/5/2024,15.5331,76,,
STR1,8/5/2024,15.5333,74,,
STR1,8/5/2024,15.5336,74,,
STR1,8/5/2024,15.5339,73,,
STR1,8/5/2024,15.5342,73,,
STR1,8/5/2024,15.5344,72,,
STR1,8/5/2024,15.5347,71,,
STR1,8/5/2024,15.5350,70,,
STR1,8/5/2024,15.5353,70,,
STR1,8/5/2024,15.5356,70,,
STR1,8/5/2024,15.5358,69,,
STR1,8/5/2024,15.5361,69,,
STR1,8/5/2024,15.5364,69,,
STR1,8/5/2024,15.5367,68,,
STR1,8/5/2024,15.5369,66,,
STR1,8/5/2024,15.5372,66,,
STR1,8/5/2024,15.5375,66,,
STR1,8/5/2024,15.5378,65,,
STR1,8/5/2024,15.5381,65,,
STR1,8/5/2024,15.5383,65,,
STR1,8/5/2024,15.5386,65,,
STR1,8/5/2024,15.5389,64,,
STR1,8/5/2024,15.5392,63,,
STR1,8/5/2024,15.5394,62,,
STR1,8/5/2024,15.5397,60,,
STR1,8/5/2024,15.5400,59,,
STR1,8/5/2024,15.5403,57,,
STR1,8/5/2024,15.5406,56,,
STR1,8/5/2024,15.5408,55,,
STR1,8/5/2024,15.5411,54,,
STR1,8/5/2024,15.5414,52,,
STR1,8/5/2024,15.5417,51,,
STR1,8/5/2024,15.5419,50,,
STR1,8/5/2024,15.5422,48,,
STR1,8/5/2024,15.5425,47,,
STR1,8/5/2024,15.5428,47,,
STR1,8/5/2024,15.5431,46,,
STR1,8/5/2024,15.5433,45,,
STR1,8/5/2024,15.5436,45,,
STR1,8/5/2024,15.5439,45,,
STR1,8/5/2024,15.5442,45,,
STR1,8/5/2024,15.5444,45,,
STR1,8/5/2024,15.5447,45,,
STR1,8/5/2024,15.5450,44,,
STR1,8/5/2024,15.5453,43,,
STR1,8/5/2024,15.5456,43,,
STR1,8/5/2024,15.5458,42,,
STR1,8/5/2024,15.5461,41,,
STR1,8/5/2024,15.5464,40,,
STR1,8/5/2024,15.5467,40,,
STR1,8/5/2024,15.5469,40,,
STR1,8/5/2024,15.5472,39,,
STR1,8/5/2024,15.5475,39,,
STR1,8/5/2024,15.5478,38,,
STR1,8/5/2024,15.5481,38,,
STR1,8/5/2024,15.5483,37,,
STR1,8/5/2024,15.5486,38,,
STR1,8/5/2024,15.5489,37,,
STR1,8/5/2024,15.5492,36,,
STR1,8/5/2024,15.5494,36,,
STR1,8/5/2024,15.5497,35,,
STR1,8/5/2024,15.5500,34,,
STR1,8/5/2024,15.5503,34,,
STR1,8/5/2024,15.5506,33,,
STR1,8/5/2024,15.5508,32,,
STR1,8/5/2024,15.5511,32,,
STR1,8/5/2024,15.5514,33,,
STR1,8/5/2024,15.5517,32,,
STR1,8/5/2024,15.5519,32,,
STR1,8/5/2024,15.5522,31,,
STR1,8/5/2024,15.5525,32,,
STR1,8/5/2024,15.5528,33,,
STR1,8/5/2024,15.5531,33,,
STR1,8/5/2024,15.5533,32,,
STR1,8/5/2024,15.5536,32,,
STR1,8/5/2024,15.5539,31,,
STR1,8/5/2024,15.5542,30,,
STR1,8/5/2024,15.5544,29,,
STR1,8/5/2024,15.5547,28,,
STR1,8/5/2024,15.5550,28,,
STR1,8/5/2024,15.5553,28,,
STR1,8/5/2024,15.5556,28,,
STR1,8/5/2024,15.5558,27,,
STR1,8/5/2024,15.5561,27,,
STR1,8/5/2024,15.5564,27,,
STR1,8/5/2024,15.5567,28,,
STR1,8/5/2024,15.5569,28,,
STR1,8/5/2024,15.5572,28,,
STR1,8/5/2024,15.5575,27,,
STR1,8/5/2024,15.5578,26,,
STR1,8/5/2024,15.5581,26,,
STR1,8/5/2024,15.5583,26,,
STR1,8/5/2024,15.5586,26,,
STR1,8/5/2024,15.5589,25,,
STR1,8/5/2024,15.5592,25,,
STR1,8/5/2024,15.5594,25,,
STR1,8/5/2024,15.5597,24,,
STR1,8/5/2024,15.5600,23,,
STR1,8/5/2024,15.5603,22,,
STR1,8/5/2024,15.5606,22,,
STR1,8/5/2024,15.5608,21,,
STR1,8/5/2024,15.5611,21,,
STR1,8/5/2024,15.5614,21,,
STR1,8/5/2024,15.5617,20,,
STR1,8/5/2024,15.5619,20,,
STR1,8/5/2024,15.5622,19,,
STR1,8/5/2024,15.5625,19,,
STR1,8/5/2024,15.5628,18,,
STR1,8/5/2024,15.5631,18,,
STR1,8/5/2024,15.5633,18,,
STR1,8/5/2024,15.5636,18,,
STR1,8/5/2024,15.5639,18,,
STR1,8/5/2024,15.5642,17,,
STR1,8/5/2024,15.5644,16,,
STR1,8/5/2024,15.5647,16,,
STR1,8/5/2024,15.5650,16,,
STR1,8/5/2024,15.5653,17,,
STR1,8/5/2024,15.5656,17,,
STR1,8/5/2024,15.5658,17,,
STR1,8/5/2024,15.5661,17,,
STR1,8/5/2024,15.5664,17,,
STR1,8/5/2024,15.5667,18,,
STR1,8/5/2024,15.5669,18,,
STR1,8/5/2024,15.5672,18,,
STR1,8/5/2024,15.5675,17,,
STR1,8/5/2024,15.5678,17,,
STR1,8/5/2024,15.5681,17,,
STR1,8/5/2024,15.5683,17,,
STR1,8/5/2024,15.5686,17,,
STR1,8/5/2024,15.5689,17,,
STR1,8/5/2024,15.5692,17,,
STR1,8/5/2024,15.5694,16,,
STR1,8/5/2024,15.5697,16,,
STR1,8/5/2024,15.5700,17,,
STR1,8/5/2024,15.5703,17,,
STR1,8/5/2024,15.5706,16,,
STR1,8/5/2024,15.5708,16,,
STR1,8/5/2024,15.5711,16,,
STR1,8/5/2024,15.5714,16,,
STR1,8/5/2024,15.5717,16,,
STR1,8/5/2024,15.5719,15,,
STR1,8/5/2024,15.5722,15,,
STR1,8/5/2024,15.5725,15,,
STR1,8/5/2024,15.5728,15,,
STR1,8/5/2024,15.5731,15,,
STR1,8/5/2024,15.5733,15,,
STR1,8/5/2024,15.5736,15,,
STR1,8/5/2024,15.5739,14,,
STR1,8/5/2024,15.5742,14,,
STR1,8/5/2024,15.5744,14,,
STR1,8/5/2024,15.5747,13,,
STR1,8/5/2024,15.5750,13,,
STR1,8/5/2024,15.5753,12,,
STR1,8/5/2024,15.5756,12,,
STR1,8/5/2024,15.5758,12,,
STR1,8/5/2024,15.5761,12,,
STR1,8/5/2024,15.5764,11,,
STR1,8/5/2024,15.5767,11,,
STR1,8/5/2024,15.5769,11,,
STR1,8/5/2024,15.5772,11,,
STR1,8/5/2024,15.5775,11,,
STR1,8/5/2024,15.5778,10,,
STR1,8/5/2024,15.5781,10,,
STR1,8/5/2024,15.5783,11,,
STR1,8/5/2024,15.5786,11,,
STR1,8/5/2024,15.5789,12,,
STR1,8/5/2024,15.5792,12,,
STR1,8/5/2024,15.5794,12,,
STR1,8/5/2024,15.5797,12,,
STR1,8/5/2024,15.5800,11,,
STR1,8/5/2024,15.5803,10,,
STR1,8/5/2024,15.5806,10,,
STR1,8/5/2024,15.5808,10,,
STR1,8/5/2024,15.5811,9,,
STR1,8/5/2024,15.5814,9,,
STR1,8/5/2024,15.5817,9,,
STR1,8/5/2024,15.5819,9,,
STR1,8/5/2024,15.5822,9,,
STR1,8/5/2024,15.5825,8,,
STR1,8/5/2024,15.5828,8,,
STR1,8/5/2024,15.5831,8,,
STR1,8/5/2024,15.5833,8,,
STR1,8/5/2024,15.5836,8,,
STR1,8/5/2024,15.5839,8,,
STR1,8/5/2024,15.5842,8,,
STR1,8/5/2024,15.5844,8,,
STR1,8/5/2024,15.5847,8,,
STR1,8/5/2024,15.5850,8,,
STR1,8/5/2024,15.5853,8,,
STR1,8/5/2024,15.5856,8,,
STR1,8/5/2024,15.5858,8,,
STR1,8/5/2024,15.5861,8,,
STR1,8/5/2024,15.5864,8,,
STR1,8/5/2024,15.5867,8,,
STR1,8/5/2024,15.5869,8,,
STR1,8/5/2024,15.5872,8,,
STR1,8/5/2024,15.5875,8,,
STR1,8/5/2024,15.5878,8,,
STR1,8/5/2024,15.5881,7,,
STR1,8/5/2024,15.5883,7,,
STR1,8/5/2024,15.5886,7,,
STR1,8/5/2024,15.5889,7,,
STR1,8/5/2024,15.5892,7,,
STR1,8/5/2024,15.5894,7,,
STR1,8/5/2024,15.5897,7,,
STR1,8/5/2024,15.5900,7,,
STR1,8/5/2024,15.5903,8,,
STR1,8/5/2024,15.5906,7,,
STR1,8/5/2024,15.5908,7,,
STR1,8/5/2024,15.5911,7,,
STR1,8/5/2024,15.5914,7,,
STR1,8/5/2024,15.5917,7,,
STR1,8/5/2024,15.5919,7,,
STR1,8/5/2024,15.5922,7,,
STR1,8/5/2024,15.5925,6,,
STR1,8/5/2024,15.5928,6,,
STR1,8/5/2024,15.5931,6,,
STR1,8/5/2024,15.5933,6,,
STR1,8/5/2024,15.5936,6,,
STR1,8/5/2024,15.5939,6,,
STR1,8/5/2024,15.5942,6,,
STR1,8/5/2024,15.5944,6,,
STR1,8/5/2024,15.5947,5,,
STR1,8/5/2024,15.5950,5,,
STR1,8/5/2024,15.5953,5,,
STR1,8/5/2024,15.5956,5,,
STR1,8/5/2024,15.5958,5,,
STR1,8/5/2024,15.5961,6,,
STR1,8/5/2024,15.5964,6,,
STR1,8/5/2024,15.5967,5,,
STR1,8/5/2024,15.5969,5,,
STR1,8/5/2024,15.5972,5,,
STR1,8/5/2024,15.5975,5,,
STR1,8/5/2024,15.5978,5,,
STR1,8/5/2024,15.5981,5,,
STR1,8/5/2024,15.5983,5,,
STR1,8/5/2024,15.5986,5,,
STR1,8/5/2024,15.5989,5,,
STR1,8/5/2024,15.5992,5,,
STR1,8/5/2024,15.5994,5,,
STR1,8/5/2024,15.5997,5,,
STR1,8/5/2024,15.6000,5,,
STR1,8/5/2024,15.6003,5,,
STR1,8/5/2024,15.6006,5,,
STR1,8/5/2024,15.6008,5,,
STR1,8/5/2024,15.6011,5,,
STR1,8/5/2024,15.6014,5,,
STR1,8/5/2024,15.6017,5,,
STR1,8/5/2024,15.6019,5,,
STR1,8/5/2024,15.6022,5,,
STR1,8/5/2024,15.6025,5,,
STR1,8/5/2024,15.6028,5,,
